id,activitydate,totalsleeprecords,totalminutesasleep,totaltimeinbed,totalsteps,totaldistance,trackerdistance,loggedactivitiesdistance,veryactivedistance,moderatelyactivedistance,lightactivedistance,sedentaryactivedistance,veryactiveminutes,fairlyactiveminutes,lightlyactiveminutes,sedentaryminutes,calories,steptotal,avg_intensity_night,avg_intensity_morning,avg_intensity_afternoon,avg_intensity_evening,avg_intensity_late_night,max_intensity_night,max_intensity_morning,max_intensity_afternoon,max_intensity_evening,max_intensity_late_night,avg_mets,max_mets,min_mets,avg_heart_rate,max_heart_rate,min_heart_rate
1503960366,2016-04-12,1.0,327.0,346.0,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,13162,5.833333333333333,14.0,24.8,31.2,15.0,20.0,30.0,58.0,41.0,21.0,17.528472222222224,99.0,10.0,,,
1503960366,2016-04-13,2.0,384.0,407.0,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,10735,3.0,13.0,18.8,12.2,33.5,14.0,27.0,46.0,25.0,56.0,15.874305555555555,111.0,10.0,,,
1503960366,2016-04-14,,,,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,10460,1.1666666666666667,7.333333333333333,25.2,19.8,8.5,4.0,23.0,54.0,57.0,17.0,15.686805555555555,97.0,10.0,,,
1503960366,2016-04-15,1.0,412.0,442.0,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,9762,3.1666666666666665,6.5,4.4,24.6,80.5,7.0,23.0,13.0,47.0,95.0,15.409722222222221,97.0,10.0,,,
1503960366,2016-04-16,2.0,340.0,367.0,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,12669,3.5,15.833333333333334,30.8,14.2,4.0,15.0,38.0,90.0,19.0,5.0,16.454166666666666,103.0,10.0,,,
1503960366,2016-04-17,1.0,700.0,712.0,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,9705,0.16666666666666666,1.5,13.2,47.4,2.5,1.0,9.0,23.0,87.0,5.0,15.258333333333333,95.0,10.0,,,
1503960366,2016-04-18,,,,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,13019,3.5,11.833333333333334,17.4,35.0,18.5,21.0,39.0,40.0,114.0,19.0,16.96736111111111,107.0,10.0,,,
1503960366,2016-04-19,1.0,304.0,320.0,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,15506,0.5,17.166666666666668,31.8,31.8,26.0,2.0,38.0,65.0,69.0,48.0,17.974305555555556,109.0,10.0,,,
1503960366,2016-04-20,1.0,360.0,377.0,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,10544,0.6666666666666666,13.5,16.8,20.8,20.0,2.0,50.0,39.0,36.0,33.0,15.775,84.0,10.0,,,
1503960366,2016-04-21,1.0,325.0,364.0,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,9819,2.5,10.0,10.0,27.0,12.0,8.0,26.0,25.0,92.0,15.0,15.678472222222222,103.0,10.0,,,
1503960366,2016-04-22,,,,12764,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,12764,0.0,8.166666666666666,4.0,45.8,42.0,0.0,34.0,10.0,159.0,54.0,16.14027777777778,93.0,10.0,,,
1503960366,2016-04-23,1.0,361.0,384.0,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,14371,1.6666666666666667,7.0,37.4,31.4,15.5,9.0,17.0,52.0,66.0,25.0,17.2125,80.0,10.0,,,
1503960366,2016-04-24,1.0,430.0,449.0,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,10039,2.1666666666666665,8.0,11.2,46.2,8.5,10.0,26.0,29.0,131.0,10.0,15.795833333333333,93.0,10.0,,,
1503960366,2016-04-25,1.0,277.0,323.0,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,15355,3.3333333333333335,17.833333333333332,12.0,52.4,7.0,8.0,46.0,19.0,132.0,11.0,17.775,95.0,10.0,,,
1503960366,2016-04-26,1.0,245.0,274.0,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,13755,4.5,14.333333333333334,28.6,26.4,15.0,11.0,31.0,60.0,72.0,21.0,17.4,93.0,10.0,,,
1503960366,2016-04-27,,,,18134,12.210000038147,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,18134,2.8333333333333335,13.833333333333334,14.6,65.2,0.0,10.0,33.0,35.0,150.0,0.0,19.063194444444445,97.0,10.0,,,
1503960366,2016-04-28,1.0,366.0,393.0,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,13154,1.6666666666666667,13.166666666666666,22.2,27.8,25.0,10.0,38.0,47.0,56.0,48.0,16.764583333333334,103.0,10.0,,,
1503960366,2016-04-29,1.0,341.0,354.0,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,11181,2.1666666666666665,9.5,20.2,12.2,41.5,9.0,33.0,56.0,20.0,56.0,16.225694444444443,99.0,10.0,,,
